country,degree,betweenness,closeness,pagerank
Haiti,0.3090128755364807,1.8499334023975136e-05,0.4936440677966102,0.0007874680728999942
Honduras,0.351931330472103,0.0007769720290069557,0.5235955056179775,0.0011639896184011253
Panama,0.5493562231759657,1.8499334023975136e-05,0.6115485564304461,0.003323097330946089
Paraguay,0.22317596566523606,0.0,0.4726166328600406,0.001379278659904273
Peru,0.4721030042918455,0.004291845493562232,0.5574162679425837,0.002892674604500176
Puerto Rico,0.3261802575107296,0.02459794780721227,0.530751708428246,0.005441092558266158
Uruguay,0.2575107296137339,0.0,0.4688128772635815,0.001398355755629582
Armenia,0.26180257510729615,0.02656812688076562,0.46506986027944114,0.0008719479660377479
Czechia,0.39914163090128757,0.0,0.5295454545454545,0.002726333630504921
Kyrgyzstan,0.23605150214592274,0.0,0.4735772357723577,0.0008304263592099254
Republic of Moldova,0.3261802575107296,0.0,0.5098468271334792,0.000776560867164966
Uzbekistan,0.2317596566523605,0.004291845493562232,0.3745980707395498,0.0014269576899797842
Aruba,0.18025751072961374,0.00022199200828770165,0.48140495867768596,0.002832613256735458
Bermuda,0.2145922746781116,0.05581094913916431,0.530751708428246,0.0008838719422594283
Bhutan,0.1759656652360515,0.022282447831878053,0.5043290043290043,0.0006709626005092689
Brunei Darussalam,0.13304721030042918,0.0,0.48643006263048016,0.0009710048374677939
Cambodia,0.2446351931330472,0.01293103448275862,0.5010752688172043,0.0008248507040953205
Central African Republic,0.20600858369098712,0.030355557199940802,0.512087912087912,0.0008772564812957361
"China, Hong Kong SAR",0.24034334763948498,0.006638177692269742,0.5065217391304347,0.00563070185854402
"China, Taiwan Province of China",0.17167381974248927,0.0,0.5,0.002182079502172355
Cook Islands,0.06866952789699571,0.01901731537664644,0.47648261758691207,0.0008929879107428642
Dem. People's Republic of Korea,0.24034334763948498,0.00903229983720586,0.492600422832981,0.0007536297078581438
Fiji,0.17167381974248927,0.014170489862364953,0.48140495867768596,0.0013208078068127841
Ireland,0.36909871244635195,0.0042548468255142816,0.513215859030837,0.0074614671797194835
Isle of Man,0.060085836909871244,0.0,0.4824016563146998,0.0015424876444836044
Kiribati,0.09012875536480687,0.0013319520497262099,0.4726166328600406,0.0012192678278899383
Lao People's Democratic Republic,0.14163090128755365,0.0,0.4735772357723577,0.0007037189103064013
Maldives,0.1459227467811159,0.0007523062503083221,0.4957446808510638,0.0007111502560372887
Mongolia,0.23605150214592274,0.0772948423856741,0.512087912087912,0.0007386896127984553
Nauru,0.07725321888412018,0.003163386118099748,0.4774590163934426,0.0007204120814086111
Niue,0.055793991416309016,0.03102954960288096,0.4726166328600406,0.0006685502516362569
Papua New Guinea,0.17167381974248927,0.005543633762517883,0.4905263157894737,0.0019292504698947644
Philippines,0.44206008583690987,0.004291845493562232,0.47648261758691207,0.0011139233871591476
Seychelles,0.19742489270386265,0.01898031670859849,0.5043290043290043,0.0006766313824204739
Singapore,0.2446351931330472,0.004273346159538257,0.4784394250513347,0.006976976435857386
Solomon Islands,0.12017167381974249,0.001091460707414533,0.483402489626556,0.0007632656056321168
Timor-Leste,0.09871244635193133,0.0,0.4894957983193277,0.0007194932193544228
Tokelau,0.034334763948497854,0.004291845493562232,0.46975806451612906,0.0006741404945478086
Uganda,0.22746781115879827,0.004846825514281485,0.48140495867768596,0.0024137175633406225
Vanuatu,0.09871244635193133,0.0002959893443836022,0.4774590163934426,0.0008829651187314432
Bosnia and Herzegovina,0.2145922746781116,0.0,0.4726166328600406,0.0007672396121072638
Turks and Caicos Islands,0.060085836909871244,0.0,0.4355140186915888,0.0009323254782583384
Bangladesh,0.33905579399141633,0.0,0.4905263157894737,0.006681726879611749
State of Palestine,0.2832618025751073,0.0,0.41459074733096085,0.006321308678019644
Jordan,0.2317596566523605,0.0,0.3883333333333333,0.0050185666326060755
Lebanon,0.3605150214592275,0.0,0.3800978792822186,0.0014585401813280933
Mauritius,0.22317596566523606,0.0012394553796063342,0.4716599190283401,0.0006970650833719788
Myanmar,0.1630901287553648,0.0,0.3935810810810811,0.0006733310186715323
Nepal,0.23605150214592274,0.011895071777416012,0.40034364261168387,0.0009866255493652261
Northern Mariana Islands,0.06866952789699571,0.003829362142962853,0.41681574239713776,0.005868537525823262
Oman,0.13304721030042918,0.0,0.39625850340136054,0.0016889507924750268
Trinidad and Tobago,0.24892703862660945,0.0,0.4568627450980392,0.0019776284981309882
Burundi,0.1759656652360515,0.0,0.3996569468267582,0.0013474862053786288
Togo,0.26609442060085836,0.02491860293029451,0.4894957983193277,0.0012859687123343271
Belize,0.1630901287553648,0.00016649400621577623,0.44550669216061184,0.0008765139398439043
Benin,0.2017167381974249,0.0,0.3915966386554622,0.001544719497884526
Burkina Faso,0.14163090128755365,0.0,0.3764135702746365,0.0034706123007895483
Côte d'Ivoire,0.2317596566523605,0.0,0.42286751361161523,0.006249936443051874
Liberia,0.2446351931330472,0.01757436732277638,0.4874476987447699,0.0009846887320220366
Nigeria,0.3948497854077253,0.0,0.3794788273615635,0.003796304981663292
Sierra Leone,0.2703862660944206,0.027453011691579102,0.4968017057569296,0.0008159133314370319
"Bonaire, Sint Eustatius and Saba",0.03862660944206009,0.0,0.004291845493562232,0.0006417831312626899
Lesotho,0.12017167381974249,0.002990725667209314,0.4472168905950096,0.0007175508717565172
Zimbabwe,0.19313304721030042,0.0,0.40734265734265734,0.0019942750056068234
Faroe Islands,0.15450643776824036,0.0,0.5177777777777778,0.0009987070121482034
Suriname,0.13733905579399142,0.0,0.4251824817518248,0.0007384951391226987
Greenland,0.11587982832618025,0.0033822949040501205,0.49469214437367304,0.0009552114933690525
Ethiopia,0.2918454935622318,0.000406985348527453,0.40241796200345425,0.0013940540941726593
Kenya,0.27467811158798283,0.024900103596270533,0.4198198198198198,0.002119333328181326
